MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,rSCHEDULED,DEPARTURE_TIME,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,CANCELLED,DELAY_TYPE,DLATITUDE,DLONGITUDE,OLATITUDE,OLONGITUDE
1,1,AA,2299,JFK,MIA,545,5.75,640,55,1089,69,0,AIRLINE DELAY,25.79325,-80.29056,40.63975,-73.77893
1,1,AA,1297,LGA,MIA,600,6,708,68,1096,50,0,AIRLINE DELAY,25.79325,-80.29056,40.63975,-73.77893
1,2,DL,1923,LGA,MIA,1415,14.25,1548,93,1096,71,0,LATE AIRCRAFT DELAY,25.79325,-80.29056,40.63975,-73.77893
1,2,AA,1246,LGA,MIA,1530,15.5,1524,-6,1096,24,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,2,AA,1483,LGA,MIA,1945,19.75,2026,41,1096,27,0,AIRLINE DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,AA,1101,JFK,MIA,652,6.866666667,648,-4,1089,22,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,AA,1085,JFK,MIA,830,8.5,831,1,1089,33,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,AA,1084,LGA,MIA,945,9.75,1130,105,1096,94,0,LATE AIRCRAFT DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,F9,1253,LGA,MIA,945,9.75,935,-10,1096,16,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,DL,1617,LGA,MIA,1105,11.08333333,1103,-2,1096,28,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,DL,1923,LGA,MIA,1415,14.25,1442,27,1096,63,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,AA,1451,JFK,MIA,1420,14.33333333,1430,10,1089,42,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,DL,2503,JFK,MIA,1600,16,1626,26,1089,47,0,AIRLINE DELAY,25.79325,-80.29056,40.63975,-73.77893
1,3,F9,1255,LGA,MIA,1720,17.33333333,1801,41,1096,40,0,AIR SYSTEM DELAY,25.79325,-80.29056,40.63975,-73.77893
1,1,AA,1441,JFK,LAS,635,6.583333333,656,21,2248,45,0,AIR SYSTEM DELAY,36.08036,-115.15233,40.63975,-73.77893
1,1,DL,2323,JFK,LAS,2030,20.5,2028,-2,2248,22,0,AIR SYSTEM DELAY,36.08036,-115.15233,40.63975,-73.77893
1,2,B6,611,JFK,LAS,2135,21.58333333,2149,14,2248,34,0,AIR SYSTEM DELAY,36.08036,-115.15233,40.63975,-73.77893
1,3,AA,1441,JFK,LAS,635,6.583333333,711,36,2248,51,0,AIRLINE DELAY,36.08036,-115.15233,40.63975,-73.77893
1,2,B6,65,JFK,ABQ,2000,20,2000,0,1826,16,0,AIR SYSTEM DELAY,35.04022,-106.60919,40.63975,-73.77893
1,1,NK,705,LGA,FLL,640,6.666666667,828,108,1076,97,0,AIR SYSTEM DELAY,26.07258,-80.15275,40.63975,-73.77893
1,1,B6,1701,JFK,FLL,825,8.416666667,824,-1,1069,17,0,AIR SYSTEM DELAY,26.07258,-80.15275,40.63975,-73.77893
1,1,B6,1,JFK,FLL,950,9.833333333,1013,23,1069,18,0,AIRLINE DELAY,26.07258,-80.15275,40.63975,-73.77893
1,2,NK,197,LGA,FLL,1050,10.83333333,1118,28,1076,15,0,AIR SYSTEM DELAY,26.07258,-80.15275,40.63975,-73.77893
